Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Manchester City,1,98,38,32,2,4,95,23,72,1,54,19,18,0,1,57,12,45,1,44,19,14,2,3,38,11,27
Liverpool,2,97,38,30,7,1,89,22,67,2,53,19,17,2,0,55,10,45,2,44,19,13,5,1,34,12,22
Chelsea,3,72,38,21,9,8,63,39,24,4,42,19,12,6,1,39,12,27,5,30,19,9,3,7,24,27,-3
Tottenham Hotspur,4,71,38,23,2,13,67,39,28,5,38,19,12,2,5,34,16,18,3,33,19,11,0,8,33,23,10
Arsenal,5,70,38,21,7,10,73,51,22,3,45,19,14,3,2,42,16,26,8,25,19,7,4,8,31,35,-4
Manchester United,6,66,38,19,9,10,65,54,11,6,36,19,10,6,3,33,25,8,4,30,19,9,3,7,32,29,3
Wolverhampton,7,57,38,16,9,13,47,46,1,8,34,19,10,4,5,28,21,7,10,23,19,6,5,8,19,25,-6
Everton,8,54,38,15,9,14,54,46,8,7,34,19,10,4,5,30,21,9,12,20,19,5,5,9,24,25,-1
Leicester City,9,52,38,15,7,16,51,48,3,11,27,19,8,3,8,24,20,4,7,25,19,7,4,8,27,28,-1
West Ham United,10,52,38,15,7,16,52,55,-3,9,31,19,9,4,6,32,27,5,11,21,19,6,3,10,20,28,-8
Watford,11,50,38,14,8,16,52,59,-7,12,27,19,8,3,8,26,28,-2,9,23,19,6,5,8,26,31,-5
Crystal Palace,12,49,38,14,7,17,51,53,-2,18,20,19,5,5,9,19,23,-4,6,29,19,9,2,8,32,30,2
Newcastle United,13,45,38,12,9,17,42,48,-6,13,25,19,8,1,10,24,25,-1,13,20,19,4,8,7,18,23,-5
AFC Bournemouth,14,45,38,13,6,19,56,70,-14,10,29,19,8,5,6,30,25,5,16,16,19,5,1,13,26,45,-19
Burnley,15,40,38,11,7,20,45,68,-23,15,23,19,7,2,10,24,32,-8,14,17,19,4,5,10,21,36,-15
Southampton,16,39,38,9,12,17,45,65,-20,14,23,19,5,8,6,27,30,-3,15,16,19,4,4,11,18,35,-17
Brighton & Hove Albion,17,36,38,9,9,20,35,60,-25,16,23,19,6,5,8,19,28,-9,18,13,19,3,4,12,16,32,-16
Cardiff City,18,34,38,10,4,24,34,69,-35,19,20,19,6,2,11,21,38,-17,17,14,19,4,2,13,13,31,-18
Fulham,19,26,38,7,5,26,34,81,-47,17,21,19,6,3,10,22,36,-14,20,5,19,1,2,16,12,45,-33
Huddersfield Town,20,16,38,3,7,28,22,76,-54,20,9,19,2,3,14,10,31,-21,19,7,19,1,4,14,12,45,-33