Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Liverpool,1,99,38,32,3,3,85,33,52,1,55,19,18,1,0,52,16,36,1,44,19,14,2,3,33,17,16
Manchester City,2,81,38,26,3,9,102,35,67,2,47,19,15,2,2,57,13,44,2,34,19,11,1,7,45,22,23
Manchester United,3,66,38,18,12,8,66,36,30,4,37,19,10,7,2,40,17,23,5,29,19,8,5,6,26,19,7
Chelsea,4,66,38,20,6,12,69,54,15,6,36,19,11,3,5,30,16,14,4,30,19,9,3,7,39,38,1
Leicester City,5,62,38,18,8,12,67,41,26,5,37,19,11,4,4,35,17,18,8,25,19,7,4,8,32,24,8
Tottenham Hotspur,6,59,38,16,11,11,61,47,14,3,39,19,12,3,4,36,17,19,11,20,19,4,8,7,25,30,-5
Wolverhampton,7,59,38,15,14,9,51,40,11,9,31,19,8,7,4,27,19,8,6,28,19,7,7,5,24,21,3
Arsenal,8,56,38,14,14,10,56,48,8,7,36,19,10,6,3,36,24,12,10,20,19,4,8,7,20,24,-4
Sheffield United,9,54,38,14,12,12,39,39,0,8,33,19,10,3,6,24,15,9,9,21,19,4,9,6,15,24,-9
Burnley,10,54,38,15,9,14,43,50,-7,11,28,19,8,4,7,24,23,1,7,26,19,7,5,7,19,27,-8
Southampton,11,52,38,15,7,16,51,60,-9,19,21,19,6,3,10,21,35,-14,3,31,19,9,4,6,30,25,5
Everton,12,49,38,13,10,15,44,56,-12,10,31,19,8,7,4,24,21,3,14,18,19,5,3,11,20,35,-15
Newcastle United,13,44,38,11,11,16,38,58,-20,12,26,19,6,8,5,20,21,-1,15,18,19,5,3,11,18,37,-19
Crystal Palace,14,43,38,11,10,17,31,50,-19,15,23,19,6,5,8,15,20,-5,12,20,19,5,5,9,16,30,-14
Brighton & Hove Albion,15,41,38,9,14,15,39,54,-15,17,22,19,5,7,7,20,27,-7,13,19,19,4,7,8,19,27,-8
West Ham United,16,39,38,10,9,19,49,62,-13,16,22,19,6,4,9,30,33,-3,16,17,19,4,5,10,19,29,-10
Aston Villa,17,35,38,9,8,21,41,67,-26,14,24,19,7,3,9,22,30,-8,18,11,19,2,5,12,19,37,-18
AFC Bournemouth,18,34,38,9,7,22,40,65,-25,18,21,19,5,6,8,22,30,-8,17,13,19,4,1,14,18,35,-17
Watford,19,34,38,8,10,20,36,64,-28,13,24,19,6,6,7,22,27,-5,19,10,19,2,4,13,14,37,-23
Norwich City,20,21,38,5,6,27,26,75,-49,20,15,19,4,3,12,19,37,-18,20,6,19,1,3,15,7,38,-31